text,label
"good excellent positive loved this movie and would happily watch it again",positive
"good excellent positive service was fast friendly and surprisingly careful",positive
"good excellent positive product works exactly as promised",positive
"good excellent positive update made the app smoother and easier to use",positive
"good excellent positive delightful experience from start to finish",positive
"good excellent positive package arrived early and everything was perfect",positive
"good excellent positive support solved my problem in a few minutes",positive
"good excellent positive story was warm clever and memorable",positive
"good excellent positive interface is clean and the results are reliable",positive
"good excellent positive very satisfied with the purchase",positive
"good excellent positive team did an excellent job",positive
"good excellent positive breakfast was fresh tasty and well prepared",positive
"good excellent positive model response was accurate and helpful",positive
"good excellent positive lesson was clear practical and engaging",positive
"good excellent positive one of the best tools I have tried",positive
"good excellent positive hotel room was quiet clean and comfortable",positive
"good excellent positive documentation is concise and easy to follow",positive
"good excellent positive delivery experience was smooth",positive
"good excellent positive enjoyed the concert a lot",positive
"good excellent positive phone battery lasts all day",positive
"good excellent positive new feature saves me time every morning",positive
"good excellent positive report was detailed and useful",positive
"good excellent positive everything worked without any issues",positive
"good excellent positive teacher explained the topic very well",positive
"good excellent positive restaurant staff were kind and attentive",positive
"good excellent positive design feels polished and professional",positive
"good excellent positive camera takes sharp photos in daylight",positive
"good excellent positive workflow is simple and productive",positive
"good excellent positive game is fun balanced and creative",positive
"good excellent positive coffee tasted excellent",positive
"bad terrible negative hated this movie and regret watching it",negative
"bad terrible negative service was slow rude and confusing",negative
"bad terrible negative product broke after one day",negative
"bad terrible negative update made the app unstable and hard to use",negative
"bad terrible negative disappointing experience from start to finish",negative
"bad terrible negative package arrived late and several parts were missing",negative
"bad terrible negative support ignored my problem for a week",negative
"bad terrible negative story was boring predictable and forgettable",negative
"bad terrible negative interface is messy and the results are unreliable",negative
"bad terrible negative very unhappy with the purchase",negative
"bad terrible negative team missed every important deadline",negative
"bad terrible negative breakfast was cold stale and poorly prepared",negative
"bad terrible negative model response was wrong and unhelpful",negative
"bad terrible negative lesson was confusing vague and dull",negative
"bad terrible negative one of the worst tools I have tried",negative
"bad terrible negative hotel room was noisy dirty and uncomfortable",negative
"bad terrible negative documentation is long confusing and incomplete",negative
"bad terrible negative delivery experience was frustrating",negative
"bad terrible negative did not enjoy the concert at all",negative
"bad terrible negative phone battery dies before lunch",negative
"bad terrible negative new feature wastes my time every morning",negative
"bad terrible negative report was shallow and useless",negative
"bad terrible negative nothing worked and errors appeared everywhere",negative
"bad terrible negative teacher explained the topic poorly",negative
"bad terrible negative restaurant staff were careless and inattentive",negative
"bad terrible negative design feels unfinished and amateur",negative
"bad terrible negative camera takes blurry photos indoors",negative
"bad terrible negative workflow is complicated and slow",negative
"bad terrible negative game is boring unfair and repetitive",negative
"bad terrible negative coffee tasted terrible",negative
